Date;Close;MM_Daily_20_exp;MoM_Daily_10_exp;RSI_Daily_21_exp;MM_Weekly_20_exp;MoM_Weekly_10_exp;RSI_Weekly_21_exp;MM_Monthly_20_exp;MoM_Monthly_10_exp;RSI_Monthly_21_exp
01/08/2005;123.64999;122.5485;1.29998;59.65004335;119.2379995;2.63;58.92232054;116.155001;9.38;58.44256394
02/08/2005;124.39;122.7434995;1.37;62.27863398;119.2379995;2.63;58.92232054;116.155001;9.38;58.44256394
03/08/2005;124.72;123.0054995;1.28;63.39519791;119.2379995;2.63;58.92232054;116.155001;9.38;58.44256394
04/08/2005;123.72;123.1939995;1;57.93839803;119.2379995;2.63;58.92232054;116.155001;9.38;58.44256394
05/08/2005;122.88;123.271999;-0.65999;53.8501506;119.2379995;2.63;58.92232054;116.155001;9.38;58.44256394
08/08/2005;122.64999;123.3074985;-0.54001;52.77939144;119.5339995;2.91001;59.22248581;116.155001;9.38;58.44256394
09/08/2005;123.39;123.363999;0.05;55.7516214;119.5339995;2.91001;59.22248581;116.155001;9.38;58.44256394
10/08/2005;123.33;123.4089995;-0.45999;55.45446145;119.5339995;2.91001;59.22248581;116.155001;9.38;58.44256394
11/08/2005;123.82001;123.4545;-0.75;57.40148082;119.5339995;2.91001;59.22248581;116.155001;9.38;58.44256394
12/08/2005;123.06;123.4655;-0.68001;53.58705141;119.5339995;2.91001;59.22248581;116.155001;9.38;58.44256394
15/08/2005;123.82001;123.539;0.17002;56.61426291;119.786;2.27;57.76962865;116.155001;9.38;58.44256394
16/08/2005;122.21001;123.4985005;-2.17999;49.44143313;119.786;2.27;57.76962865;116.155001;9.38;58.44256394
17/08/2005;122.2;123.4365005;-2.52;49.40057353;119.786;2.27;57.76962865;116.155001;9.38;58.44256394
18/08/2005;122.19;123.4100005;-1.53;49.35778631;119.786;2.27;57.76962865;116.155001;9.38;58.44256394
19/08/2005;122.47;123.356501;-0.41;50.61532553;119.786;2.27;57.76962865;116.155001;9.38;58.44256394
22/08/2005;122.47;123.320501;-0.17999;50.61532553;119.9239995;-0.60001;53.75632693;116.155001;9.38;58.44256394
23/08/2005;122.24001;123.2655015;-1.14999;49.50215304;119.9239995;-0.60001;53.75632693;116.155001;9.38;58.44256394
24/08/2005;121.14999;123.1335015;-2.18001;44.61885061;119.9239995;-0.60001;53.75632693;116.155001;9.38;58.44256394
25/08/2005;121.59;122.984501;-2.23001;46.84154259;119.9239995;-0.60001;53.75632693;116.155001;9.38;58.44256394
26/08/2005;120.75999;122.8355;-2.30001;43.39217989;119.9239995;-0.60001;53.75632693;116.155001;9.38;58.44256394
29/08/2005;121.69;122.7375005;-2.13001;47.90547134;120.33;3.29;56.5547599;116.155001;9.38;58.44256394
30/08/2005;121.05;122.5705005;-1.16001;45.29596635;120.33;3.29;56.5547599;116.155001;9.38;58.44256394
31/08/2005;122.58;122.4635005;0.38;51.87609829;120.33;3.29;56.5547599;116.155001;9.38;58.44256394
01/09/2005;122.49001;122.402001;0.30001;51.49357278;120.33;3.29;56.5547599;116.6330005;5.14999;58.76247683
02/09/2005;122.27;122.371501;-0.2;50.53695244;120.33;3.29;56.5547599;116.6330005;5.14999;58.76247683
06/09/2005;123.7;122.4240015;1.23;56.1025158;120.7815;5.07001;60.43404339;116.6330005;5.14999;58.76247683
07/09/2005;123.91;122.4500015;1.66999;56.85115064;120.7815;5.07001;60.43404339;116.6330005;5.14999;58.76247683
08/09/2005;123.5;122.4585015;2.35001;54.93071602;120.7815;5.07001;60.43404339;116.6330005;5.14999;58.76247683
09/09/2005;124.60001;122.4975015;3.01001;58.84691491;120.7815;5.07001;60.43404339;116.6330005;5.14999;58.76247683
12/09/2005;124.35001;122.562002;3.59002;57.65147654;121.169;2.17999;57.87245487;116.6330005;5.14999;58.76247683
13/09/2005;123.66;122.5540015;1.97;54.44612866;121.169;2.17999;57.87245487;116.6330005;5.14999;58.76247683
14/09/2005;123.21001;122.6040015;2.16001;52.44929819;121.169;2.17999;57.87245487;116.6330005;5.14999;58.76247683
15/09/2005;123.14999;122.651501;0.56999;52.18127566;121.169;2.17999;57.87245487;116.6330005;5.14999;58.76247683
16/09/2005;123.5;122.717001;1.00999;53.63212586;121.169;2.17999;57.87245487;116.6330005;5.14999;58.76247683
19/09/2005;123.09;122.748001;0.82;51.70268964;121.3865;-1.4;53.42007608;116.6330005;5.14999;58.76247683
20/09/2005;122.05;122.727001;-1.65;47.18184943;121.3865;-1.4;53.42007608;116.6330005;5.14999;58.76247683
21/09/2005;120.91;122.6605005;-3;42.86768348;121.3865;-1.4;53.42007608;116.6330005;5.14999;58.76247683
22/09/2005;121.34;122.670001;-2.16;44.86435778;121.3865;-1.4;53.42007608;116.6330005;5.14999;58.76247683
23/09/2005;121.44;122.662501;-3.16001;45.33089703;121.3865;-1.4;53.42007608;116.6330005;5.14999;58.76247683
26/09/2005;121.58;122.7035015;-2.77001;46.00255213;121.7524995;-0.5;56.1700616;116.6330005;5.14999;58.76247683
27/09/2005;121.55;122.6965015;-2.11;45.87573732;121.7524995;-0.5;56.1700616;116.6330005;5.14999;58.76247683
28/09/2005;121.67;122.7275015;-1.54001;46.49522102;121.7524995;-0.5;56.1700616;116.6330005;5.14999;58.76247683
29/09/2005;122.66;122.7315015;-0.48999;51.32155968;121.7524995;-0.5;56.1700616;116.6330005;5.14999;58.76247683
30/09/2005;123.03999;122.7590005;-0.46001;53.02913567;121.7524995;-0.5;56.1700616;116.6330005;5.14999;58.76247683
03/10/2005;122.60001;122.775501;-0.48999;50.86008099;121.7769995;-4.13001;49.58115761;116.8885005;-0.74;55.90385225
04/10/2005;121.22;122.651501;-0.83;44.82216116;121.7769995;-4.13001;49.58115761;116.8885005;-0.74;55.90385225
05/10/2005;119.63;122.437501;-1.28;39.19323449;121.7769995;-4.13001;49.58115761;116.8885005;-0.74;55.90385225
06/10/2005;119.2;122.222501;-2.14;37.84369091;121.7769995;-4.13001;49.58115761;116.8885005;-0.74;55.90385225
07/10/2005;119.61;121.9730005;-1.83;39.91500767;121.7769995;-4.13001;49.58115761;116.8885005;-0.74;55.90385225
10/10/2005;118.60001;121.6855005;-2.97999;36.74754068;121.6979995;-4.21;47.96221372;116.8885005;-0.74;55.90385225
11/10/2005;118.42999;121.424;-3.12001;36.23923249;121.6979995;-4.21;47.96221372;116.8885005;-0.74;55.90385225
12/10/2005;117.5;121.1384995;-4.17;33.57209822;121.6979995;-4.21;47.96221372;116.8885005;-0.74;55.90385225
13/10/2005;117.42999;120.8524995;-5.23001;33.37792189;121.6979995;-4.21;47.96221372;116.8885005;-0.74;55.90385225
14/10/2005;118.67;120.6109995;-4.36999;39.84817154;121.6979995;-4.21;47.96221372;116.8885005;-0.74;55.90385225
17/10/2005;119.11;120.4119995;-3.49001;41.94871415;121.597;-4.93;47.03581277;116.8885005;-0.74;55.90385225
18/10/2005;117.82001;120.2005;-3.39999;37.87696681;121.597;-4.93;47.03581277;116.8885005;-0.74;55.90385225
19/10/2005;119.78;120.144;0.15;46.20696699;121.597;-4.93;47.03581277;116.8885005;-0.74;55.90385225
20/10/2005;117.67;119.9605;-1.53;40.12522809;121.597;-4.93;47.03581277;116.8885005;-0.74;55.90385225
21/10/2005;118.13;119.795;-1.48;41.87643408;121.597;-4.93;47.03581277;116.8885005;-0.74;55.90385225
24/10/2005;119.96001;119.7140005;1.36;48.20449128;121.577;-2.67;50.1617115;116.8885005;-0.74;55.90385225
25/10/2005;119.72;119.6225005;1.29001;47.49244561;121.577;-2.67;50.1617115;116.8885005;-0.74;55.90385225
26/10/2005;119.37;119.5075005;1.87;46.44203382;121.577;-2.67;50.1617115;116.8885005;-0.74;55.90385225
27/10/2005;118.10001;119.279501;0.67002;42.83266162;121.577;-2.67;50.1617115;116.8885005;-0.74;55.90385225
28/10/2005;119.8;119.1175015;1.13;48.46230395;121.577;-2.67;50.1617115;116.8885005;-0.74;55.90385225
31/10/2005;120.13;118.994001;1.02;49.47641122;121.6145;1.35001;54.09651507;116.8885005;-0.74;55.90385225
01/11/2005;120.49001;118.9575015;2.67;50.59009736;121.6145;1.35001;54.09651507;117.504;7.25;59.64406392
02/11/2005;121.75;119.0635015;1.97;54.29261262;121.6145;1.35001;54.09651507;117.504;7.25;59.64406392
03/11/2005;122.27;119.2170015;4.6;55.73014136;121.6145;1.35001;54.09651507;117.504;7.25;59.64406392
04/11/2005;122.11;119.3420015;3.98;55.1695639;121.6145;1.35001;54.09651507;117.504;7.25;59.64406392
07/11/2005;122.23;119.523501;2.26999;55.52188804;121.8534995;1.48999;56.66265799;117.504;7.25;59.64406392
