Date;Close;MM_Daily_20_exp;MoM_Daily_10_exp;RSI_Daily_21_exp;MM_Weekly_20_exp;MoM_Weekly_10_exp;RSI_Weekly_21_exp;MM_Monthly_20_exp;MoM_Monthly_10_exp;RSI_Monthly_21_exp;Closure_Daily;Closure_Weekly;Closure_Monthly;MM_Daily_20;MM_Weekly_20;MM_Monthly_20
2004-08-25;111.10001;109.238503;2.94001;53.57076373;111.3855025;-2.18;53.02081618;103.395001;5.81;52.63287379;True;False;False;109.238503;111.3855025;103.39500099999998
2004-08-26;111.10001;109.265003;4.12001;53.57076373;111.3855025;-2.18;53.02081618;103.395001;5.81;52.63287379;True;False;False;109.26500300000001;111.3855025;103.39500099999998
2004-08-27;111.45;109.295503;4.26;54.86442235;111.3855025;-2.18;53.02081618;103.395001;5.81;52.63287379;True;True;False;109.29550300000001;111.3855025;103.39500099999998
2004-08-30;110.53;109.2685025;2.23;50.94643159;111.3000025;-1.72;54.13868555;103.395001;5.81;52.63287379;True;False;False;109.26850250000003;111.3000025;103.39500099999998
2004-08-31;111.11;109.313502;2.2;53.16061331;111.3000025;-1.72;54.13868555;103.395001;5.81;52.63287379;True;False;True;109.31350200000001;111.3000025;103.39500099999998
2004-09-01;111.32001;109.3695025;1.29001;53.95086497;111.3000025;-1.72;54.13868555;104.6800005;5.30999;53.08678652;True;False;False;109.3695025;111.3000025;104.68000049999998
2004-09-02;112.58;109.578503;2.86999;58.37496785;111.3000025;-1.72;54.13868555;104.6800005;5.30999;53.08678652;True;False;False;109.578503;111.3000025;104.68000049999998
2004-09-03;112.12;109.8420025;1.64;56.30147038;111.3000025;-1.72;54.13868555;104.6800005;5.30999;53.08678652;True;True;False;109.84200249999999;111.3000025;104.68000049999998
2004-09-07;112.86;110.1350025;2.66;58.77491184;111.2350025;0.18;55.69182966;104.6800005;5.30999;53.08678652;True;False;False;110.1350025;111.2350025;104.68000049999998
2004-09-08;112.58;110.3530025;2.22999;57.48225217;111.2350025;0.18;55.69182966;104.6800005;5.30999;53.08678652;True;False;False;110.3530025;111.2350025;104.68000049999998
2004-09-09;112.48;110.5690025;1.37999;57.01204408;111.2350025;0.18;55.69182966;104.6800005;5.30999;53.08678652;True;False;False;110.56900250000001;111.2350025;104.68000049999998
2004-09-10;113.06;110.8730025;1.95999;59.05193522;111.2350025;0.18;55.69182966;104.6800005;5.30999;53.08678652;True;True;False;110.87300249999998;111.2350025;104.68000049999998
2004-09-13;113.42999;111.185002;1.97999;60.31334441;111.3445015;1.41999;55.84215383;104.6800005;5.30999;53.08678652;True;False;False;111.18500200000001;111.3445015;104.68000049999998
2004-09-14;113.66;111.453002;3.13;61.09563299;111.3445015;1.41999;55.84215383;104.6800005;5.30999;53.08678652;True;False;False;111.453002;111.3445015;104.68000049999998
2004-09-15;112.8;111.647502;1.69;56.70727264;111.3445015;1.41999;55.84215383;104.6800005;5.30999;53.08678652;True;False;False;111.647502;111.3445015;104.68000049999998
2004-09-16;113.14;111.803002;1.81999;57.96075096;111.3445015;1.41999;55.84215383;104.6800005;5.30999;53.08678652;True;False;False;111.80300199999999;111.3445015;104.68000049999998
2004-09-17;113.14999;111.975001;0.56999;57.99826942;111.3445015;1.41999;55.84215383;104.6800005;5.30999;53.08678652;True;True;False;111.97500099999999;111.3445015;104.68000049999998
2004-09-20;112.47;112.074501;0.35;54.5206854;111.4195015;0.75;52.34060363;104.6800005;5.30999;53.08678652;True;False;False;112.07450099999998;111.41950149999998;104.68000049999998
2004-09-21;112.96001;112.2125015;0.10001;56.49446574;111.4195015;0.75;52.34060363;104.6800005;5.30999;53.08678652;True;False;False;112.21250149999999;111.41950149999998;104.68000049999998
2004-09-22;111.55;112.272501;-1.03;49.94529864;111.4195015;0.75;52.34060363;104.6800005;5.30999;53.08678652;True;False;False;112.272501;111.41950149999998;104.68000049999998
2004-09-23;110.95;112.2650005;-1.53;47.4857155;111.4195015;0.75;52.34060363;104.6800005;5.30999;53.08678652;True;False;False;112.2650005;111.41950149999998;104.68000049999998
2004-09-24;111.46001;112.2830005;-1.59999;49.69667275;111.4195015;0.75;52.34060363;104.6800005;5.30999;53.08678652;True;True;False;112.28300049999999;111.41950149999998;104.68000049999998
2004-09-27;110.75;112.2480005;-2.67999;46.81551042;111.6000015;4.68998;56.08720239;104.6800005;5.30999;53.08678652;True;False;False;112.24800049999999;111.60000149999999;104.68000049999998
2004-09-28;111.28;112.2855005;-2.38;49.12718597;111.6000015;4.68998;56.08720239;104.6800005;5.30999;53.08678652;True;False;False;112.28550050000001;111.60000149999999;104.68000049999998
2004-09-29;111.84;112.3220005;-0.96;51.4675096;111.6000015;4.68998;56.08720239;104.6800005;5.30999;53.08678652;True;False;False;112.32200050000002;111.60000149999999;104.68000049999998
2004-09-30;111.75999;112.3439995;-1.38001;51.1147475;111.6000015;4.68998;56.08720239;104.6800005;5.30999;53.08678652;True;False;True;112.3439995;111.60000149999999;104.68000049999998
2004-10-01;113.64999;112.397499;0.5;58.21782624;111.6000015;4.68998;56.08720239;106.095001;1.92;54.10975865;True;True;False;112.397499;111.60000149999999;106.09500099999998
2004-10-04;113.84;112.483499;1.37;58.84900598;111.735001;1.66999;53.77654505;106.095001;1.92;54.10975865;True;False;False;112.48349900000001;111.73500100000001;106.09500099999998
2004-10-05;113.89999;112.5354985;0.93998;59.05405825;111.735001;1.66999;53.77654505;106.095001;1.92;54.10975865;True;False;False;112.53549849999999;111.73500100000001;106.09500099999998
2004-10-06;114.62;112.6374985;3.07;61.47338262;111.735001;1.66999;53.77654505;106.095001;1.92;54.10975865;True;False;False;112.63749849999999;111.73500100000001;106.09500099999998
2004-10-07;113.45;112.6859985;2.5;55.84358056;111.735001;1.66999;53.77654505;106.095001;1.92;54.10975865;True;False;False;112.68599849999998;111.73500100000001;106.09500099999998
2004-10-08;112.50999;112.658498;1.04998;51.83864472;111.735001;1.66999;53.77654505;106.095001;1.92;54.10975865;True;True;False;112.65849799999998;111.73500100000001;106.09500099999998
