time,Date,Close,MM_Daily_20_exp,MoM_Daily_10_exp,RSI_Daily_21_exp,MM_Weekly_20_exp,MoM_Weekly_10_exp,RSI_Weekly_21_exp,MM_Monthly_20_exp,MoM_Monthly_10_exp,RSI_Monthly_21_exp
2008-03-26T13:30:00Z,2008-3-26,133.200,132.51600249999996,0.59998999999999114,48.121419852588829,138.93949950000012,40.732960978613725,-0.55001000000001454,143.07249900000005,-21.350009999999997,48.452349374317308
2008-03-27T13:30:00Z,2008-3-27,132.780,132.24400249999994,1.4199999999999875,47.528247283313,138.93949950000012,40.732960978613725,-0.55001000000001454,143.07249900000005,-21.350009999999997,48.452349374317308
2008-03-28T13:30:00Z,2008-3-28,131.510,131.97600199999994,-0.14000000000001478,45.738182777730401,138.93949950000012,40.732960978613725,-0.55001000000001454,143.07249900000005,-21.350009999999997,48.452349374317308
2008-03-31T13:30:00Z,2008-3-31,131.970,131.88350149999994,2.3599999999999852,46.504456474069272,138.4945000000001,46.30726587206123,3.8500099999999975,143.07249900000005,-21.350009999999997,48.452349374317308
2008-04-01T13:30:00Z,2008-4-01,136.610,132.03900149999993,8.3100000000000023,53.464528155469694,138.4945000000001,46.30726587206123,3.8500099999999975,143.45349850000008,-12.170000000000016,53.028656893555514
2008-04-02T13:30:00Z,2008-4-02,136.700,132.22450099999992,3.0699999999999932,53.587511073836502,138.4945000000001,46.30726587206123,3.8500099999999975,143.45349850000008,-12.170000000000016,53.028656893555514
2008-04-03T13:30:00Z,2008-4-03,137.040,132.3850004999999,6.7199799999999925,54.068992543297739,138.4945000000001,46.30726587206123,3.8500099999999975,143.45349850000008,-12.170000000000016,53.028656893555514
2008-04-04T13:30:00Z,2008-4-04,136.890,132.67650049999992,4.8099999999999739,53.810411613040394,138.4945000000001,46.30726587206123,3.8500099999999975,143.45349850000008,-12.170000000000016,53.028656893555514
2008-04-07T13:30:00Z,2008-4-07,136.960,133.0390004999999,2.2400100000000123,53.918421282454524,137.95700000000011,43.504268490757568,-6.2000000000000171,143.45349850000008,-12.170000000000016,53.028656893555514
2008-04-08T13:30:00Z,2008-4-08,136.820,133.4800009999999,1.9699999999999989,53.654978788352352,137.95700000000011,43.504268490757568,-6.2000000000000171,143.45349850000008,-12.170000000000016,53.028656893555514
2008-04-09T13:30:00Z,2008-4-09,135.830,133.64150049999992,2.6300000000000239,51.776600586559134,137.95700000000011,43.504268490757568,-6.2000000000000171,143.45349850000008,-12.170000000000016,53.028656893555514
2008-04-10T13:30:00Z,2008-4-10,136.020,133.87450049999993,3.2400000000000091,52.114417280630256,137.95700000000011,43.504268490757568,-6.2000000000000171,143.45349850000008,-12.170000000000016,53.028656893555514
2008-04-11T13:30:00Z,2008-4-11,133.380,133.96100099999992,1.8700100000000077,47.282057334442861,137.95700000000011,43.504268490757568,-6.2000000000000171,143.45349850000008,-12.170000000000016,53.028656893555514
2008-04-14T13:30:00Z,2008-4-14,132.930,134.12700049999992,0.95999000000000478,46.510164861975873,137.44800000000012,48.280448245129868,5.4099899999999934,143.45349850000008,-12.170000000000016,53.028656893555514
2008-04-15T13:30:00Z,2008-4-15,133.240,134.37400099999991,-3.3699900000000014,47.134460009622352,137.44800000000012,48.280448245129868,5.4099899999999934,143.45349850000008,-12.170000000000016,53.028656893555514
2008-04-16T13:30:00Z,2008-4-16,136.850,134.53500149999991,0.15001000000000886,53.736311415206593,137.44800000000012,48.280448245129868,5.4099899999999934,143.45349850000008,-12.170000000000016,53.028656893555514
2008-04-17T13:30:00Z,2008-4-17,137.050,134.87150099999991,0.010010000000022501,54.069953125348952,137.44800000000012,48.280448245129868,5.4099899999999934,143.45349850000008,-12.170000000000016,53.028656893555514
2008-04-18T13:30:00Z,2008-4-18,138.480,135.1915009999999,1.5900000000000034,56.429093248240086,137.44800000000012,48.280448245129868,5.4099899999999934,143.45349850000008,-12.170000000000016,53.028656893555514
2008-04-21T13:30:00Z,2008-4-21,138.550,135.38300099999989,1.5899900000000002,56.543818682482581,136.88250050000011,49.269402107893697,4.4600100000000111,143.45349850000008,-12.170000000000016,53.028656893555514
2008-04-22T13:30:00Z,2008-4-22,137.940,135.53750049999991,1.1199900000000014,55.213578382510264,136.88250050000011,49.269402107893697,4.4600100000000111,143.45349850000008,-12.170000000000016,53.028656893555514
2008-04-23T13:30:00Z,2008-4-23,137.720,135.76350049999988,1.8899999999999864,54.726026289463604,136.88250050000011,49.269402107893697,4.4600100000000111,143.45349850000008,-12.170000000000016,53.028656893555514
2008-04-24T13:30:00Z,2008-4-24,138.320,136.04050099999989,2.3000099999999861,55.842640957889522,136.88250050000011,49.269402107893697,4.4600100000000111,143.45349850000008,-12.170000000000016,53.028656893555514
2008-04-25T13:30:00Z,2008-4-25,139.600,136.44500199999987,6.220010000000002,58.154413765292155,136.88250050000011,49.269402107893697,4.4600100000000111,143.45349850000008,-12.170000000000016,53.028656893555514
2008-04-28T13:30:00Z,2008-4-28,139.630,136.82800199999991,6.7000099999999918,58.208239321108735,136.59950000000009,50.948850588874151,5.8899899999999832,143.45349850000008,-12.170000000000016,53.028656893555514
2008-04-29T13:30:00Z,2008-4-29,139.080,136.95150199999989,5.8399900000000002,56.801308543491466,136.59950000000009,50.948850588874151,5.8899899999999832,143.45349850000008,-12.170000000000016,53.028656893555514
2008-04-30T13:30:00Z,2008-4-30,138.260,137.0295014999999,1.4099799999999902,54.730392060970296,136.59950000000009,50.948850588874151,5.8899899999999832,143.45349850000008,-12.170000000000016,53.028656893555514
2008-05-01T13:30:00Z,2008-5-01,141.120,137.2335019999999,4.0699999999999932,60.062758761079422,136.59950000000009,50.948850588874151,5.8899899999999832,143.79199900000009,-5.3699900000000014,54.439833640048867
2008-05-02T13:30:00Z,2008-5-02,141.510,137.46450149999993,3.029989999999998,60.725132673706021,136.59950000000009,50.948850588874151,5.8899899999999832,143.79199900000009,-5.3699900000000014,54.439833640048867
2008-05-05T13:30:00Z,2008-5-05,140.830,137.65800099999993,2.2800000000000011,58.935593645876892,136.13799950000012,48.638500116706268,5.0799800000000062,143.79199900000009,-5.3699900000000014,54.439833640048867
2008-05-06T13:30:00Z,2008-5-06,142.050,137.91950049999991,4.1100000000000136,61.095425657757119,136.13799950000012,48.638500116706268,5.0799800000000062,143.79199900000009,-5.3699900000000014,54.439833640048867
2008-05-07T13:30:00Z,2008-5-07,139.520,138.10400049999993,1.8000000000000114,54.817403097085425,136.13799950000012,48.638500116706268,5.0799800000000062,143.79199900000009,-5.3699900000000014,54.439833640048867
2008-05-08T13:30:00Z,2008-5-08,139.160,138.26100049999991,0.83999000000000024,53.988532040275679,136.13799950000012,48.638500116706268,5.0799800000000062,143.79199900000009,-5.3699900000000014,54.439833640048867
2008-05-09T13:30:00Z,2008-5-09,138.900,138.53699999999989,-0.70001999999999498,53.376470320467874,136.13799950000012,48.638500116706268,5.0799800000000062,143.79199900000009,-5.3699900000000014,54.439833640048867
2008-05-12T13:30:00Z,2008-5-12,140.460,138.91350099999991,0.83001000000001568,56.484379330232784,135.90599950000009,51.935405968013299,12.949989999999985,143.79199900000009,-5.3699900000000014,54.439833640048867
2008-05-13T13:30:00Z,2008-5-13,140.480,139.27550049999988,1.3999999999999773,56.523372713597418,135.90599950000009,51.935405968013299,12.949989999999985,143.79199900000009,-5.3699900000000014,54.439833640048867
2008-05-14T13:30:00Z,2008-5-14,140.770,139.47149999999988,2.5100100000000225,57.108820581454296,135.90599950000009,51.935405968013299,12.949989999999985,143.79199900000009,-5.3699900000000014,54.439833640048867
2008-05-15T13:30:00Z,2008-5-15,142.530,139.74549999999988,1.4099999999999966,60.498437553580231,135.90599950000009,51.935405968013299,12.949989999999985,143.79199900000009,-5.3699900000000014,54.439833640048867
2008-05-16T13:30:00Z,2008-5-16,142.660,139.95449999999988,1.1500100000000089,60.73907496568787,135.90599950000009,51.935405968013299,12.949989999999985,143.79199900000009,-5.3699900000000014,54.439833640048867
2008-05-19T13:30:00Z,2008-5-19,143.050,140.17949999999988,2.2199999999999989,61.478280304529569,135.72249950000011,47.647792299068925,8.0299999999999727,143.79199900000009,-5.3699900000000014,54.439833640048867
2008-05-20T13:30:00Z,2008-5-20,141.890,140.3769999999999,-0.16000000000002501,58.064036929817995,135.72249950000011,47.647792299068925,8.0299999999999727,143.79199900000009,-5.3699900000000014,54.439833640048867
